Airport ID,KMCO
KCVG,PHLI
PHLI,KJWN
PHLI,KFSM
KMYR,KMSY
KJAX,PHLI
PHLI,PHNL
PHLI,KFSM
PHLI,KSBD
PHLI,NaN
NaN,KIKW
,PHLI
,PHLI
,KSDF
,KMMU
,KLGA
,KSTP
,KVPS
,PHLI
,PHLI
,KTUS
,NaN
,KAZO
,PHLI
,PHLI
,PHLI
,KAEX
,KAEX
,PHLI
,NaN
,KJFK
,PHLI
,KGPT
,PHLI
,PHLI
,NaN
,KJFK
,NaN
,KIAG
,KLGA
,KPIT
,KAEX
,PHLI
,KSMF
,PHLI
,KLGA
,KMJX
,KAEX
,KIAD
,KACY
,KLGA
,KIAD
,KBYH
,KATL
,KAUS
,NaN
,KBUR
,KICT
,NaN
,KMTN
,KDTW
,KIAD
,KBYH
,KBWI
,PHLI
,KSFO
,KCHS
,KDCA
,NaN
,KMYR
,KLBB
,KSBP
,KABE
,KIAD
,KABQ
,KSPS
,PHLI
,PHTO
,KGSO
,KLBB
,KSTL
,KIWA
,KSWF
,KSAN
,NaN
,KIAG
,PHLI
,KSBA
,PVT
,NaN
,PHLI
,PHLI
,KAEX
,KIAD
,KTYS
,KLGA
,NaN
,NaN
,KMKC
,PHLI
,NaN
,KDAL
,KSPS
,KSAW
,KMIA
,KEWR
,KDCA
,PHLI
,PHLI
,KLGA
,KSTL
,MMPR
,KSBM
,KPAE
,KBFM
,KIAG
,LFPO
,KMSY
,KSFO
,KCLT
,NaN
,KERI
,KHGR
,KIAG
,KFCM
,KLGA
,PHLI
,PAOM
,KJFK
,KCHS
,KJFK
,KCHS
,KCRW
,NaN
,KRAP
,KBRD
,KELP
,KVPS
,KABR
,KORD
,KLAX
,KSAN
,MMGL
,KPDX
,KPHX
,KIAD
,KORF
,PHOG
,KACY
,KFLL
,KSEA
,KPIE
,KHOU
,KBYH
,KORD
,KORD
,KCAK
,KDFW
,NaN
,KADS
,KBUR
,KDFW
,KDAL
,KSAT
,KBYH
,KBKL
,NaN
,KDEN*
,KAUS
,KSYR
,KBUR
,KROA
,KCGF
,KCLT
,NaN
,KBUF
,KACY
,KSMF
,PAWG
,KOKC
,KJAX
,KATL
,KMRB
,KMSY
,KMWH
,KALB
,PHTO
,NaN
,KORD
,KJFK
,MDSD
,KORD
,KDCA
,KDFW
,KRSW
,KMYR
,KJAX
,KIND
,KDFW
,KBWI
,KMCO
,KHYA
,KSYR
,KBYH
,NaN
,KIND
,KCVG
,KSJC
,KMCI
,KMTN
,KBYH
,KAGS
,KSFO
,KROA
,KSTS
,KGTF
,KPOU
,KOAK
,KVPS
,KBKL
,KORF
,KHRL
,KJFK
,KORD
,KSYR
,KAPN
,KPOU
,KSFO
,KGSP
,KORF
,KBHB
,KORF
,S50
,EDDN
,KSYR
,KOKC
,KBWI
,KOMA
,KTVC
,KMSP
,KBNA
,KBNA
,KTPA
,CYEG
,KDFW
,KCAK
,KJAN
,KSTL
,KPDX
,KTPA
,KSPG
,KEWB
,KPDX
,KIAG
,KSTL
,KRIC
,KBHB
,KSPS
,KHGR
,NaN
,KBYH
,KSLC
,KSNA
,KMLI
,KDFW
,KORD
,KORD
,KBUF
,KROC
,KAUS
,KDAL
,KJFK
,KBTR
,KPAO
,PHNL
,KLGA
,KBUF
,KRHV
,KJFK
,KLBB
,KORD
,KSWF
,KFOE
,NaN
,NaN
,KLBB
,NaN
,KDFW
,NaN
,NaN
,KBTV
,KJAX
,KSTL
,KFNL
,KMDW
,KRNO
,KDCA
,KSPG
