'A-7K',
'VC-9C',
'F-4D',
'CURTIS C-46',
'C-130A',
'WC-130E',
'BE-17',
'AC-130H',
'C-137C',
'WACO',
'C-130B',
'BRISTOL FRTR',
'FAIRCHILD FH227',
'C-130Y',
'A-7',
'A-7D',
'BAC 1-11',
'SAAB',
'F-111D',
'C-18B',
'KC-130',
'NORD 262',
'RF-4C',
'RKWL LARK',
'OV-10A',
'B-52G',
'SIKORSKY',
'VC-137C',
'AC-130',
'SUKHOI SU-29',
'FOKKER F28',
'RKWL DARTER',
'B-STEARMAN',
'C-135C',
'F-4',
'HAWKER-SDLY HS748',
'TG-7A',
'BE-UNKNOWN',
'F-4G',
'MAULE M-6',
'PA-36-375',
'WC-130',
'T-3A',
'EC135E',
'CONVAIR 600',
'TC-18E',
'LOCKHEED 188',
'NAMC YS-11A',
'C-130G',
'C-141',
'LEARJET-23',
'C-18',
'C-20D',
'WC-135B',
'WC-135',
'E-6A',
'FAIRCHILD 24',
'BELLANCA 260',
'VC-135E',
'C-137',
'MH-53J',
'F/A-18',
'C-23',
'C-9',
'T-41C',
'EC135H',
'CH-1N',
'EC135C',
'AT-38A',
'G-2',
'P-3',
'KC-135',
'DA-100 FALCON',
'C-9B',
'C-22B',
'C-135B',
'CT-114',
'RC-135S',
'BA-ATP',
'CONCORDE',
'AN-124',
'VOLPARE BE18',
'BELL 47',
'AT-502',
'RC-135U',
'P-3C',
'SHORTS SC7',
'OA-10A',
'LOCKHEED',
'EC-18B',
'T-41D',
'T-44A',
'F/A-18B',
'C-135A',
'C-12C',
'AC-130U',
'C-141B',
'MERLIN',
'BE-2000',
'TH-53A',
'WC-130H',
'ROBIN R2000 SERIES',
'UV-18B',
'VC-137',
'BOEING UNKN',
'FOKKER F28 MK 1000',
'FAIRCH SA227',
'FOKKER F28 MK 4000',
'HH-60J',
'LOCKHEED 1329',
'BA-146-300',
'BE-77  SKIPPER',
'L-1011-500',
'C-20A',
'C-20H',
'HELIO COURIER H295',
'DC-10-40',
'AYRES THRUSH',
'LOCKHEED JETST',
'C-9A',
'CITATION VI',
'MOONEY UNKN',
'FAIRCHILD F27',
'CV-580',
'STEARMAN',
'DORNIER',
'REPUBLIC RC3',
'L-1011',
'AEROS SA341',
'AEROS SN601',
'DC-8-62',
'FOKKER F100',
'C-12D',
'BE-80 QUEEN',
'BA-146-100',
'C-141C',
'C-38A',
'C-5C',
